totalRequisicoes,tamanhoHeap,totalThreads,totalParticoes,ocupacaoFinal,tamanhoMedio,desalocadas,mediaDesalocacao,tempoExecucao,falhas,desfragmentacoes
5000,1024,4,4,99.82,131,3003,0.6006,703,0,0
10000,500,1,1,87.86,130,9139,0.9139,1208,0,0
10000,1024,1,1,82.27,131,8368,0.8368,1910,0,0
10000,1024,1,1,80.39,131,8385,0.8385,1810,0,0
10000,1024,2,2,82.99,131,8327,0.8327,1111,0,0
10000,1024,4,4,83.14,131,8357,0.8357,906,0,0
10000,1024,8,4,80.40,131,8362,0.8362,908,0,0
10000,1024,16,4,83.57,132,8339,0.8339,909,0,0
5000,1024,2,2,96.50,129,3034,0.6068,843,0,0
5000,1024,4,4,71.98,132,3553,0.7106,728,0,0
5000,1024,8,8,71.47,131,3569,0.7138,733,0,0
5000,1024,6,6,72.41,131,3563,0.7126,724,0,0
5000,1024,16,16,75.32,133,3536,0.7072,837,0,0
